Episode,WhiteBallStartX,WhiteBallStartY,RedBallStartX,RedBallStartY,YellowBallStartX,YellowBallStartY,HitAngle,HitForce,RedTouched,YellowTouched,CushionCount,Score,Reward,TimeStamp
92,3.74,0.95,-0.93,0.72,5.44,1.75,107.62,24.4,False,False,5,0,-1,2025-06-15 14:25:28
93,3.74,0.95,-0.93,0.72,5.44,1.75,360,16.64,True,False,3,0,8,2025-06-15 14:25:39
94,3.74,0.95,-0.93,0.72,5.44,1.75,225.86,22.87,False,False,4,0,-1,2025-06-15 14:25:51
95,3.74,0.95,-0.93,0.72,5.44,1.75,98.47,30,False,False,5,0,-1,2025-06-15 14:26:03
96,3.74,0.95,-0.93,0.72,5.44,1.75,74.84,22.27,False,False,4,0,-1,2025-06-15 14:26:14
97,3.74,0.95,-0.93,0.72,5.44,1.75,290.8,22.6,False,True,4,0,8,2025-06-15 14:26:25
98,3.74,0.95,-0.93,0.72,5.44,1.75,270.65,23.28,False,False,5,0,-1,2025-06-15 14:26:37
99,3.74,0.95,-0.93,0.72,5.44,1.75,175.04,20.77,False,True,2,0,4,2025-06-15 14:26:48
100,3.74,0.95,-0.93,0.72,5.44,1.75,156.05,20.82,False,False,4,0,-1,2025-06-15 14:27:00
101,3.74,0.95,-0.93,0.72,5.44,1.75,65.77,27.26,False,False,6,0,-1,2025-06-15 14:27:11
102,3.74,0.95,-0.93,0.72,5.44,1.75,115.25,22.81,True,False,4,0,8,2025-06-15 14:27:22
103,3.74,0.95,-0.93,0.72,5.44,1.75,16.63,25.59,False,True,2,0,4,2025-06-15 14:27:34
104,3.74,0.95,-0.93,0.72,5.44,1.75,0,23.23,True,False,4,0,8,2025-06-15 14:27:46
105,3.74,0.95,-0.93,0.72,5.44,1.75,86.65,24.05,False,False,5,0,-1,2025-06-15 14:27:57
106,3.74,0.95,-0.93,0.72,5.44,1.75,186.79,21.17,False,False,2,0,-10,2025-06-15 14:28:09
